101,Alegações Finais,ESAJ-1G-AL,1,1
320,Agravo Regimental,ESAJ-1G-AL,1,1
112,Agravo Retido,ESAJ-1G-AL,1,1
115,Comprovação de Pagamento,ESAJ-1G-AL,1,1
117,Contestação,ESAJ-1G-AL,1,1
103,Contra-razões de Apelação,ESAJ-1G-AL,1,1
327,Contrarrazões,ESAJ-1G-AL,1,1
51,Cumprimento de sentença,ESAJ-1G-AL,1,1
53,Cumprimento Provisório de Decisão,ESAJ-1G-AL,1,1
52,Cumprimento Provisório de Sentença,ESAJ-1G-AL,1,1
105,Defesa Prévia,ESAJ-1G-AL,1,1
237,Denunciação à Lide,ESAJ-1G-AL,1,1
220,Dilação de Prazo,ESAJ-1G-AL,1,1
219,Embargos,ESAJ-1G-AL,1,1
215,Embargos à Execução,ESAJ-1G-AL,1,1
121,Embargos da Monitória,ESAJ-1G-AL,1,1
49,Embargos de Declaração Cível,ESAJ-1G-AL,1,1
238,Embargos de Terceiro,ESAJ-1G-AL,1,1
66,Embargos Infringentes na Execução Fiscal,ESAJ-1G-AL,1,1
123,Emenda a Inicial,ESAJ-1G-AL,1,1
125,Exceção de Pré-Executividade,ESAJ-1G-AL,1,1
214,Execução de Honorários,ESAJ-1G-AL,1,1
218,Execução de Sentença,ESAJ-1G-AL,1,1
217,Execução de Título Judicial,ESAJ-1G-AL,1,1
216,Homologação de Acordo,ESAJ-1G-AL,1,1
128,Impugnação à Contestação,ESAJ-1G-AL,1,1
133,Impugnação de Embargos,ESAJ-1G-AL,1,1
136,Impugnação de Embargos a Monitória,ESAJ-1G-AL,1,1
186,Justificação,ESAJ-1G-AL,1,1
120,Manifestação do Autor,ESAJ-1G-AL,1,1
124,Manifestação do Curador,ESAJ-1G-AL,1,1
234,Manifestação do defensor público,ESAJ-1G-AL,1,1
147,Manifestação do Réu,ESAJ-1G-AL,1,1
155,Manifestação Sobre Avaliação,ESAJ-1G-AL,1,1
158,Manifestação Sobre Cálculo,ESAJ-1G-AL,1,1
232,Manifestação sobre certidão,ESAJ-1G-AL,1,1
231,Manifestação sobre documento(s),ESAJ-1G-AL,1,1
165,Manifestação Sobre Laudo Pericial,ESAJ-1G-AL,1,1
167,Manifestação Sobre Penhora,ESAJ-1G-AL,1,1
170,Memoriais,ESAJ-1G-AL,1,1
122,Pedido de Adiamento de Audiência,ESAJ-1G-AL,1,1
126,Pedido de Alvará,ESAJ-1G-AL,1,1
228,Pedido de Andamento do proc./sent./decisões/desp.,ESAJ-1G-AL,1,1
229,Pedido de apreciação de liminar/tutela antecipada,ESAJ-1G-AL,1,1
127,Pedido de Arquivamento,ESAJ-1G-AL,1,1
137,Pedido de Arquivamento Provisório,ESAJ-1G-AL,1,1
141,Pedido de Avaliação,ESAJ-1G-AL,1,1
110,Pedido de Cálculo de Pena,ESAJ-1G-AL,1,1
148,Pedido de Citação de Partes,ESAJ-1G-AL,1,1
153,Pedido de Desarquivamento,ESAJ-1G-AL,1,1
154,Pedido de Desentranhamento de Documentos,ESAJ-1G-AL,1,1
160,Pedido de Designação de Audiência,ESAJ-1G-AL,1,1
9572,Pedido de Desistência da Ação,ESAJ-1G-AL,1,1
225,Pedido de Desistência do Prazo Recursal,ESAJ-1G-AL,1,1
177,Pedido de Expedição de Alvará,ESAJ-1G-AL,1,1
111,Pedido de Expedição de Guia de Recolhimento,ESAJ-1G-AL,1,1
187,Pedido de Extinção de Feito,ESAJ-1G-AL,1,1
189,Pedido de Intimação de Partes,ESAJ-1G-AL,1,1
230,Pedido de Julgamento,ESAJ-1G-AL,1,1
190,Pedido de Julgamento Antecipado da Lide,ESAJ-1G-AL,1,1
233,Pedido de juntada de documento(s),ESAJ-1G-AL,1,1
213,Pedido de Liberdade Provisória,ESAJ-1G-AL,1,1
191,Pedido de Notificação de Partes,ESAJ-1G-AL,1,1
192,Pedido de Penhora,ESAJ-1G-AL,1,1
193,Pedido de Perícia,ESAJ-1G-AL,1,1
113,Pedido de Providências,ESAJ-1G-AL,1,1
244,Pedido de Reconsideração de Decisão,ESAJ-1G-AL,1,1
194,Pedido de Reconsideração de Despacho,ESAJ-1G-AL,1,1
195,Pedido de Redesignação de Audiência,ESAJ-1G-AL,1,1
114,Pedido de Remissão,ESAJ-1G-AL,1,1
197,Pedido de Suspensão de Processo,ESAJ-1G-AL,1,1
95,Petição,ESAJ-1G-AL,1,1
201,Primeiras Declarações,ESAJ-1G-AL,1,1
202,Ratificação das Últimas Declarações,ESAJ-1G-AL,1,1
204,Reconvenção,ESAJ-1G-AL,1,1
132,Recurso de Apelação,ESAJ-1G-AL,1,1
205,Recurso Diverso,ESAJ-1G-AL,1,1
67,Recurso em Sentido Estrito,ESAJ-1G-AL,1,1
318,Recurso Especial,ESAJ-1G-AL,1,1
319,Recurso Extraordinário,ESAJ-1G-AL,1,1
325,Recurso Inominado,ESAJ-1G-AL,1,1
341,Reiteração/Reconsideração de Liminar,ESAJ-1G-AL,1,1
116,Renúncia,ESAJ-1G-AL,1,1
209,Renúncia de Mandato,ESAJ-1G-AL,1,1
227,Réplica,ESAJ-1G-AL,1,1
81,Restituição de Coisas Apreendidas,ESAJ-1G-AL,1,1
149,Últimas Declarações,ESAJ-1G-AL,1,1